SNO.,disp,journalname /product_name,jurl /url,Volume,journalCover,coverurl,Issue,year, article_title /title, author /authors,abstract,absurl,doi,absurldownload,article_id
1,Pharmacology,Current Pharmaceutical Design,https://www.eurekaselect.net/article/103702,15,,,6,2020,Polymer-Lipid Hybrid Nanoparticles: A Next-Generation Nanocarrier for Targeted Treatment of Solid Tumors,Saima Amin,"At present, cancer is the most deadly disease and one of the most common causes of death worldwide providing different obstacles to chemotherapy including non-specific biodistribution of chemotherapeutic drugs, dose-related adverse effects, development of metastasis and chemoresistance.",,,https://www.eurekaselect.net/article/download/103702,103702
2,Pharmacology,Current Pharmaceutical Design,https://www.eurekaselect.net/article/103702,26,,,11,2020,Lipid-Based Nanosystem As Intelligent Carriers for Versatile Drug Delivery Applications, Ziyaur Rahman,"The contemporary drug discovery research shows that most of the drug candidates are highly potent, but showing poor aqueous solubility leads a variety of challenges for formulation scientists to develop a suitable formulation to improve the systemic bioavailability of such drugs. ",,,https://www.eurekaselect.net/article/download/104229,104229
3,Pharmacology,Current Pharmaceutical Design,https://www.eurekaselect.net/article/103702,27,,,13,2020,Exploring the Multifunctional Neuroprotective Promise of Rasagiline Derivatives for Multi-Dysfunctional Alzheimerï¿½s Disease, Md. Sahab Uddin,"Alzheimers disease (AD) is a chronic, age-related, and irreversible brain disorder that typically develops slowly and gets worse over time.",,,https://www.eurekaselect.net/article/download/105654,105654
4,Pharmacology,Current Pharmaceutical Design,https://www.eurekaselect.net/article/103702,26,,,11,2020,Current Nanoparticle Approaches in Nose to Brain Drug Delivery and Anticancer Therapy - A Review,Muthu Thiruvengadam,"Nanoparticles (NPs) are unique may be organic or inorganic, play a vital role in the development of drug delivery targeting the central nervous system (CNS). ",,,https://www.eurekaselect.net/article/download/103704,103704
5,Pharmacology,Current Drug Safety,https://www.eurekaselect.net/article/103958,15,,,2,2020,Treatment of Psoriasis: A Comprehensive Review of Entire Therapies,Manju Nagpal,Background: Psoriasis is an autoimmune disease that ingeminates itself with the repeated proliferation of keratinocytes.,,,https://www.eurekaselect.net/article/download/103958,103958
6,Pharmacology,Current Drug Safety,https://www.eurekaselect.net/article/103958,15,,,2,2020,Ustekinumab-induced Sarcoidosis in a Patient with Psoriatic Arthritis,Senol Kobak,Background: Psoriatic Arthritis (PsA) is a chronic inflammatory disease that may affect different joints. Sarcoidosis is a Th-1 cell-related chronic granulomatous disease characterized by non-caseating granuloma formation.,,,https://www.eurekaselect.net/article/download/105250,105250
7,Pharmacology,Current Drug Safety,https://www.eurekaselect.net/article/106165,15,,,2,2020,Adverse Drug Reaction Monitoring and Reporting Among Physicians and Pharmacists in Pakistan: A Cross-sectional Study,Sally Pezaro,"Background: The success of a reporting system of adverse drug reaction (ADR) depends on the knowledge, attitudes, and practices of the health care professionals. ",,,https://www.eurekaselect.net/article/download/106165,106165
8,Pharmacology,Current Radiopharmaceuticals,https://www.eurekaselect.net/article/102956,13,,,2,2020,Evidence-Based Data About Prevalence and Risk of Malignancy of Thyroid Incidentalomas Detected by Different PET Radiopharmaceuticals,Giorgio Treglia,"Background: To date, several meta-analyses and systematic reviews have reported data about the prevalence and risk of malignancy of thyroid incidentalomas detected by different PET radiopharmaceuticals.",,,https://www.eurekaselect.net/article/download/102956,102956
9,Pharmacology,Current Radiopharmaceuticals,https://www.eurekaselect.net/article/107528,14,,,3,2021,Artificial Neural Networks in Cardiovascular Diseases and its Potential for Clinical Application in Molecular Imaging,Riccardo Laudicella,"In medical imaging, Artificial Intelligence is described as the ability of a system to properly interpret and learn from external data, acquiring knowledge to achieve specific goals and tasks through flexible adaptation.",,,https://www.eurekaselect.net/article/download/107528,107528
10,Pharmacology,Current Radiopharmaceuticals,https://www.eurekaselect.net/article/101300,13,,,1,2020,Clinical and Prognostic Value of 18F-FDG-PET/CT in the Restaging Process of Recurrent Cutaneous Melanoma, Pierpaolo Alongi,"Background: Several studies on 18F-FDG-PET/CT have investigated the prognostic role of this imaging modality in different tumors after treatment. Nevertheless, its role in restaging patients with recurrent CM still needs to be defined.",,,https://www.eurekaselect.net/article/download/101300,101300
11,Pharmacology,Current Drug Research Reviews,https://www.eurekaselect.net/article/102570,12,,,1,2020,Ionic Liquids for Therapeutic and Drug Delivery Applications,Inderbir Singh,"Background: Ionic liquids (ILs) are ionic compounds with highly tunable and remarkable properties which make them an important candidate in multiple domains such as extraction, synthesis, analytics, catalysis, biotechnology, therapeutics as well as pharmaceutical sciences.",,,https://www.eurekaselect.net/article/download/102570,102570
12,Pharmacology,Current Drug Research Reviews,https://www.eurekaselect.net/article/104688,12,,,2,2020,Gene Expression and Resistance to Glucocorticoid-Induced Apoptosis in Acute Lymphoblastic Leukemia: A Brief Review and Update,George I. Lambrou,"Background: Resistance to glucocorticoid (GC)-induced apoptosis in Acute Lymphoblastic Leukemia (ALL), is considered one of the major prognostic factors for the disease.",,,https://www.eurekaselect.net/article/download/104688,104688
13,Pharmacology,Current Drug Research Reviews,https://www.eurekaselect.net/article/108786,13,,,1,2021,Onychomycosis: Current Understanding and Strategies for Enhancing Drug Delivery into Human Nail Tissue, Yasser Shahzad,"Background: Onychomycosis is by far the most common finger or toe nail fungal infectious disease caused by dermatophytes, non-dermatophytic molds or yeast. It accounts for 50% of the total nail disorders, and affects patients physically, socially, and psychologically and can seriously influence their quality of life.",,,https://www.eurekaselect.net/article/download/108786,108786
14,Pharmacology,Current Pharmaceutical Analysis,https://www.eurekaselect.net/article/97043,16,,,4,2020,Molecularly Imprinted Electrochemical Sensors: Analytical and Pharmaceutical Applications Based on Ortho-Phenylenediamine Polymerization,Bengi Uslu,"Background: The molecular imprinting technique has been applied in many fields including separation, artificial antibody mimics, catalysis, sensing studies, and drug delivery.",,,https://www.eurekaselect.net/article/download/97043,97043
15,Pharmacology,Current Pharmaceutical Analysis,https://www.eurekaselect.net/article/93787,16,,,2,2020,A Novel Potentiometric PVC-membrane Cysteamine-Selective Electrode Based on Cysteamine-Phosphomolybdate Ion-Pair,Fatih Coldur,Background: Cysteamine is used as an orphan drug in the treatment of cystinosis to prevent long-term cystine accumulation in lysosomes. ,,,https://www.eurekaselect.net/article/download/93787,93787
16,Pharmacology,Current Pharmaceutical Analysis,https://www.eurekaselect.net/article/download/101774,16,,,4,2020,"Pharmacokinetics of Picroside I, II, III, IV in Rat Plasma by UPLCMS/ MS", Xianqin Wang,"Background: Modern pharmacological studies show that rhizoma coptidis has protective effects on the liver, gallbladder, kidney, cerebral ischemia-reperfusion, local hypoxia injury, antiinflammatory, bone injury, nerve cells and myocardial cells. The effective components have been isolated from picroside I, II, III and IV.",,,https://www.eurekaselect.net/article/download/101774,101774
